127.0.0.1, 2023-12-11 09:45:42, POST, /admin/default/index, HTTP/1.1, 303, 0.027999
127.0.0.1, 2023-12-11 09:45:42, GET, /admin/default/site, HTTP/1.1, 200, 0.095202
127.0.0.1, 2023-12-11 09:45:42, GET, /admin/static/_2.27.1/images/folder_locked.png, HTTP/1.1, 200, 0.015006
127.0.0.1, 2023-12-11 09:45:42, GET, /admin/static/_2.27.1/images/folder.png, HTTP/1.1, 200, 0.014006
127.0.0.1, 2023-12-11 09:45:42, GET, /admin/static/_2.27.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.013016
127.0.0.1, 2023-12-11 09:45:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001002
127.0.0.1, 2023-12-11 09:45:42, POST, /admin/default/check_version, HTTP/1.1, 200, 0.309127
127.0.0.1, 2023-12-11 09:45:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.023546
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.123487
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002012
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.001997
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001003
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.005005
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000996
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001994
2009
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.044988
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.045003
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.062525
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.037548
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.037545
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.039540
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.033528
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.030991
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.110543
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.028997
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.035993
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.031992
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.035995
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.025990
127.0.0.1, 2023-12-11 09:46:05, GET, /admin/static/_2.27.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.035014
127.0.0.1, 2023-12-11 09:46:06, GET, /admin/static/_2.27.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.030008
